Objeto do Contrato;Tipo de Procedimento;Tipo(s) de Contrato;CPVs;Entidade(s) Adjudicante(s);Entidade(s) Adjudicatária(s);Preço Contratual;Data de Publicação;Data de Celebração do Contrato;Prazo de Execução;Local de Execução;Fundamentação;Data de Fecho do Contrato;Preço Total Efetivo;Causas das Alterações ao Prazo;Causas das Alterações ao Preço;Estado;N.º registo do Acordo Quadro;Descrição do Acordo Quadro;Procedimento Centralizado
Fornecimento de produtos alimentares (Lote n.º 10 – Hortofrutícolas em conserva) para os Serviços de Ação Social da Universidade de Lisboa no ano 2014;Concurso público;Aquisição de bens móveis;"15000000-8, Produtos alimentares, bebidas, tabaco e produtos afins";Serviços de Ação Social da Universidade de Lisboa (510762980);"Pires, Santos & Escaria Lda  (500692360)";"6.876,57 €";05-11-2015;03-02-2014;332 dias (10 meses e 27 dias);"Portugal, Lisboa, Lisboa";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
80901315 - AD para Reparação de Aparelho de Anestesia ;Ajuste directo;Aquisição de serviços;"50400000-9, Serviços de reparação e manutenção de equipamento médico e de precisão";"Centro Hospitalar Vila Nova de Gaia - Espinho, E. P. E. (508142156)";IBERDATA (501904921);"489,36 €";05-11-2015;05-11-2015;15 dias (15 dias);"Portugal, Porto, Vila Nova de Gaia";"Artigo 24.º, n.º 1, alínea c) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
AQUISIÇÃO MATERIAL CONSUMO CLINICO;Ajuste directo;Aquisição de bens móveis;"33141610-9, Sacos de drenagem";Centro Hospitalar do Oeste (510412009);"MEDICINALIA-CORMEDICA, LDA (500684324)";"894,00 €";05-11-2015;28-04-2014;1 dias (1 dia);"Portugal, Leiria, Caldas da Rainha";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";29-04-2014;"894,00 €";;;;Não aplicável.;Não aplicável.;false
Ajuste Direto n.º 103/2015 – Monitor de Educação no âmbito das Atividades de Animação e Apoio à Família (AAAF’S) e da Componente de Apoio à Família (CAF) da Junta de Freguesia de Benfica pelo prazo de 12 meses – Ricardo Morais;Ajuste directo;Aquisição de serviços;"80000000-4, Serviços de ensino e formação";Freguesia de Benfica (506602222);Ricardo Manuel Gomes Morais (255902743);"7.800,00 €";05-11-2015;01-09-2015;365 dias (1 ano);"Portugal, Lisboa, Lisboa";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Prestação de serviços de assistência técnica aos elevadores do CPS Nª Sra. da Conceição;Ajuste directo;Aquisição de serviços;"50000000-5, Serviços de reparação e manutenção";Santa Casa da Misericórdia de Lisboa (500745471);"CNAS -  COMPANHIA NACIONAL DE ASCENSORES, LDA (503093300)";"511,05 €";05-11-2015;07-04-2015;90 dias (2 meses e 29 dias);"Portugal, Lisboa, Lisboa";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
AQUISIÇÃO MATERIAL CONSUMO CLINICO;Ajuste directo;Aquisição de bens móveis;"33140000-3, Material médico de consumo";Centro Hospitalar do Oeste (510412009);"AVIQUIMICA, LDA. (500039720)";"574,00 €";05-11-2015;28-04-2014;1 dias (1 dia);"Portugal, Leiria, Caldas da Rainha";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";29-04-2014;"574,00 €";;;;Não aplicável.;Não aplicável.;false
Aquisição de medicamentos para a farmácia do HP para 2015;Ajuste directo;Aquisição de bens móveis;"24000000-4, Produtos químicos";Direção-Geral de Reinserção e Serviços Prisionais (600085171);"Sanofi- Produtos Farmacêuticos, Lda (500134960)";"1.924,18 €";05-11-2015;25-09-2015;365 dias (1 ano);"Portugal, Lisboa, Oeiras";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
"Medidas de Eficiência Energética e Reabilitação de Fachadas do C.H. Monte Crasto - Reabilitação de Fachadas, Coberturas e Arranjos Exteriores";Concurso público;Empreitadas de obras públicas;"45443000-4, Obras de fachada";Município de Gondomar (506848957);"António Simões & Simões, Lda. (504348221)";"1.099.907,07 €";05-11-2015;26-06-2015;240 dias (7 meses e 27 dias);"Portugal, Porto, Gondomar";"Artigo 19.º, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Aquisição de Torre de Arrefecimento  e Ventilo-Convetores.;Ajuste directo;Aquisição de bens móveis;"42512300-1, Sistemas de aquecimento, ventilação e ar condicionado";Universidade de Trás-os-Montes e Alto Douro (501345361);"GOMMATI - Avac Construção e Serviços, Lda. (513381236)";"35.743,00 €";05-11-2015;23-10-2015;90 dias (2 meses e 29 dias);"Portugal, Vila Real, Vila Real";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
"CT-2015/15003431 - Manuetenção correctiva e preventiva do elevador da Av. Movimento das Forças Armadas, nº8 - Portela de Sintra";Ajuste directo;Aquisição de serviços;"50750000-7, Serviços de manutenção de elevadores";Município de Sintra (500051062);"ThyssenKrupp Elevadores, SA (501445226)";"1.100,00 €";05-11-2015;22-10-2015;57 dias (1 mês e 26 dias);"Portugal, Lisboa, Sintra";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Aquisição SISTEMA DE PROTECÇÃO EMBOLICO CAROTIDEO;Ajuste directo;Aquisição de bens móveis;"33190000-8, Dispositivos e produtos médicos variados";"Centro Hospitalar Vila Nova de Gaia - Espinho, E. P. E. (508142156)";"Boston Scientific Portugal - Disp. Médicos, Lda (504988964)";"1.100,00 €";05-11-2015;04-11-2015;10 dias (10 dias);"Portugal, Porto, Vila Nova de Gaia";"Artigo 24.º, n.º 1, alínea c) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
AQUISIÇÃO MATERIAL CONSUMO CLINICO;Ajuste directo;Aquisição de bens móveis;"33141640-8, Drenos";Centro Hospitalar do Oeste (510412009);HOSPITEX - MAT. HOSPITALAR (501909842);"28,80 €";05-11-2015;28-04-2014;1 dias (1 dia);"Portugal, Leiria, Caldas da Rainha";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";29-04-2014;"28,80 €";;;;Não aplicável.;Não aplicável.;false
Fornecimento de sinalética para o Forte da Graça;Ajuste directo;Aquisição de bens móveis;"44423450-0, Placas sinaléticas";Município de Elvas (501272968);AIAR - ASSOCIAÇÃO DE DESENVOLVIMENTO PELA CLUTURA (510718264);"38.475,00 €";05-11-2015;29-10-2015;30 dias (30 dias);"Portugal, Portalegre, Elvas";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Lamina para Serra;Ajuste directo;Aquisição de bens móveis;"33183000-6, Material de assistência ortopédica";"Centro Hospitalar Vila Nova de Gaia - Espinho, E. P. E. (508142156)";"B BRAUN MEDICAL, LDA. (501506543)";"390,90 €";05-11-2015;14-07-2015;2 dias (2 dias);"Portugal, Porto, Vila Nova de Gaia";"Artigo 24.º, n.º 1, alínea e) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
"Proc. 455/DCOP/2015 - AQUISIÇÃO DE SOLUÇÃO DE SEGURANÇA DE FIREWALL, ACESSOS VPN E CONTROLO DE ACESSOS À INTERNET";Ajuste directo;Aquisição de bens móveis;"30230000-0, Equipamento informático";Câmara Municipal de Cascais (505187531);"Cilnet - COMUNICAÇÕES E PROJECTOS ESPECIAIS, S.A (505267772)";"48.426,66 €";05-11-2015;30-10-2015;1096 dias (3 anos e 1 dia);"Portugal, Lisboa, Cascais";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
"Aquisição de serviços para funções equiparadas às de assistente operacional com vista ao apoio do Programa de Natação Curricular para as Escolas do 1º Ciclo do Ensino Básico nos anos letivos de 2015/2016, 2016/12017 e 2017/2018 - período compreendido de 1 de outubro de 2015 e 31 de maio de 2016, de 1 de outubro de 2016 e 31 de maio de 2017 e de 1 de outubro de 2017 e 31 de maio de 2018.";Ajuste directo;Aquisição de serviços;"92620000-3, Serviços relacionados com o desporto";Município de Lisboa (500051070);Renata Solange Silva Eusébio (253386209);"12.005,04 €";05-11-2015;30-09-2015;"729 dias (1 ano, 11 meses e 29 dias)";"Portugal, Lisboa, Lisboa";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
AQUISIÇÃO MATERIAL CONSUMO CLINICO;Ajuste directo;Aquisição de bens móveis;"33141310-6, Seringas";Centro Hospitalar do Oeste (510412009);"SMITHS MEDICAL, LDA (507445937)";"728,00 €";05-11-2015;28-04-2014;1 dias (1 dia);"Portugal, Leiria, Caldas da Rainha";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";29-04-2014;"728,00 €";;;;Não aplicável.;Não aplicável.;false
Aquisição de Material para Radiofrequência Hepatica ;Ajuste directo;Aquisição de bens móveis;"33100000-1, Equipamento médico";"Centro Hospitalar Vila Nova de Gaia - Espinho, E. P. E. (508142156)";"COVIDIEN PORTUGAL-Produtos de Saúde,Unipessoal,Lda (503413410)";"2.000,00 €";05-11-2015;04-11-2015;5 dias (5 dias);"Portugal, Porto, Vila Nova de Gaia";"Artigo 24.º, n.º 1, alínea c) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
FORNECIMENTO DE INFRAESTRUTURAS DE REDE DE COMUNICAÇÕES;Ajuste directo;Aquisição de bens móveis;"32400000-7, Redes";Município de Arraiolos (501258027);"MEO - SERVIÇOS DE COMUNICAÇÕES E MULTIMÉDIA, S. A. (504615947)";"18.500,00 €";05-11-2015;10-07-2015;90 dias (2 meses e 29 dias);"Portugal, Évora, Arraiolos";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
AQUISIÇÃO MATERIAL CONSUMO CLINICO;Ajuste directo;Aquisição de bens móveis;"33141640-8, Drenos";Centro Hospitalar do Oeste (510412009);"JOHNSON&JOHNSON, LDA. (500153370)";"480,00 €";05-11-2015;28-04-2014;1 dias (1 dia);"Portugal, Leiria, Caldas da Rainha";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";29-04-2014;"480,00 €";;;;Não aplicável.;Não aplicável.;false
Micro-Guia p/ Embolização;Ajuste directo;Aquisição de bens móveis;"33140000-3, Material médico de consumo";"Centro Hospitalar Vila Nova de Gaia - Espinho, E. P. E. (508142156)";"Medicinália - Cormédica, Lda (500684324)";"870,00 €";05-11-2015;14-07-2015;2 dias (2 dias);"Portugal, Porto, Vila Nova de Gaia";"Artigo 24.º, n.º 1, alínea c) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
"AQUISIÇÃO DE 1 DESBASTADOR DE CEPOS VERMEER SC30TX OU EQUIVALENTE, PARA USO DOS OPERACIONAIS DA DIVISÃO DE ESPAÇOS VERDES";Ajuste directo;Aquisição de bens móveis;"44510000-8, Ferramentas";Município de Setúbal (501294104);"VERMEER PORTUGAL - EQUIPAMENTOS INDUSTRIAIS, LDA (502330120)";"18.902,00 €";05-11-2015;05-11-2015;1 dias (1 dia);"Portugal, Setúbal, Setúbal";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Serviços de Limpeza;Ajuste directo;Aquisição de serviços;"90910000-9, Serviços de limpeza";Freguesia de Falagueira-Venda Nova (510833101);"Perfect Clean, Limpeza e Manutenção Lda (504673920)";"1.700,00 €";05-11-2015;03-08-2015;151 dias (4 meses e 29 dias);"Portugal, Lisboa, Amadora";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Fornecimento de refeições no Colégio de São Mamede durante o ano letivo de 2015/2015;Concurso público;Aquisição de serviços;"55524000-9, Serviços de fornecimento de refeições (catering) a escolas";"PROFESSO - Promoção da Formação e Ensino, S. A. (503906565)";ITAU- Instituto Técnico de Alimentação Humano SA (500142858);"136.964,60 €";05-11-2015;09-10-2015;365 dias (1 ano);"Portugal, Leiria, Batalha";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
AQUISIÇÃO MATERIAL CONSUMO CLINICO;Ajuste directo;Aquisição de bens móveis;"33141600-6, Tubos e sacos de drenagem e respectivos kits";Centro Hospitalar do Oeste (510412009);VACUETTE PORTUGAL. SA (505348470);"558,00 €";05-11-2015;28-04-2014;1 dias (1 dia);"Portugal, Leiria, Caldas da Rainha";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";29-04-2014;"558,00 €";;;;Não aplicável.;Não aplicável.;false
Aquisição de Tampas de Endoscópio ;Ajuste directo;Aquisição de bens móveis;"33168000-5, Aparelhos para endoscopia e endocirurgia";"Centro Hospitalar Vila Nova de Gaia - Espinho, E. P. E. (508142156)";"OLYMPUS IBÉRIA, S.A.U. - Suc. em Portugal (980474710)";"420,00 €";05-11-2015;04-11-2015;10 dias (10 dias);"Portugal, Porto, Vila Nova de Gaia";"Artigo 24.º, n.º 1, alínea e) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
80901415 - AD para Reparação de Autoclave ;Ajuste directo;Aquisição de serviços;"50400000-9, Serviços de reparação e manutenção de equipamento médico e de precisão";"Centro Hospitalar Vila Nova de Gaia - Espinho, E. P. E. (508142156)";Oftaltec - Intrumentos Cirurgicos de Qualidade (503197149);"283,00 €";05-11-2015;05-11-2015;20 dias (20 dias);"Portugal, Porto, Vila Nova de Gaia";"Artigo 24.º, n.º 1, alínea e) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
"PC.130.2015.0002040 - CB 3042/DGS/RF-Reab. de 3 fgs, 3042/620, 762 e 931 (R Murgueira, lt 18, 1.º esq.º e lt 2, 1.º dt.º; R Galegas, lt 21, 2.º ft.º ) P.I. Zambujal/Amadora ";Ajuste directo;Empreitadas de obras públicas;"45453100-8, Obras de recuperação";"Instituto da Habitação e da Reabilitação Urbana, I. P. (501460888)";"J. Honório & Nelson, Lda. (505205467)";"8.398,48 €";05-11-2015;03-11-2015;30 dias (30 dias);"Portugal, Lisboa, Amadora";"Artigo 19.º, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
AJUSTE DIRETO - PRESTAÇÃO DES SERVIÇOS NA MODALIDADE DE AVENÇA PARA APOIO À ATIVIDADE DO SERVIÇO MUNICIPAL DE PROTEÇÃO CIVIL - RENOVAÇÃO - INICIO A 05 DE NOVEMBRO DE 2015;Ajuste directo;Aquisição de serviços;"75252000-7, Serviços de socorro";Município de Grândola (506823318);JOSÉ LUIS GOMES DIAS (158134222);"11.400,00 €";05-11-2015;05-11-2015;365 dias (1 ano);"Portugal, Setúbal, Grandola";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
N CP20140028 - Aquisição de reembaladora de medicamentos - Grifols;Concurso público;Aquisição de bens móveis;"39300000-5, Equipamento diverso";"SESARAM - Serviço de Saúde da RAM, E.P.E. (511228848)";GRIFOLS PORTUGAL LDA (502041285);"140.000,00 €";05-11-2015;06-10-2015;86 dias (2 meses e 25 dias);"Portugal, Região Autónoma da Madeira, Funchal";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Aquisição de medicamentos para a farmácia do HP para 2015;Ajuste directo;Aquisição de bens móveis;"24000000-4, Produtos químicos";Direção-Geral de Reinserção e Serviços Prisionais (600085171);"Generis- Farmaceutica, SA (508107997)";"21,84 €";05-11-2015;25-09-2015;365 dias (1 ano);"Portugal, Lisboa, Oeiras";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
"Aquisição de serviços especializados de desinstalação, transporte, instalação e operacionalização de equipamentos do Centro de Processamento de Dados Alternativo do Instituto de Informática, IP. na SIBS para as instalações da IP TELECOM em Viseu ";Ajuste directo;Aquisição de serviços;"51611100-9, Serviços de instalação de hardware";"Instituto de Informática, I. P. (504322915)";"IP TELECOM - SERVIÇOS DE TELECOMUNICAÇÕES, SA (505065630)";"18.900,00 €";05-11-2015;15-10-2015;60 dias (1 mês e 29 dias);"Portugal, Viseu, Viseu";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
CORANTES CIRURGIA OFTALMICA;Ajuste directo;Aquisição de bens móveis;"33190000-8, Dispositivos e produtos médicos variados";"Serviço de Saúde da Região Autónoma da Madeira, E. P. E. (511228848)";OVERPHARMA PROD MEDICOS E FARMACEUTICOS LDA (505792362);"4.500,00 €";05-11-2015;05-10-2015;87 dias (2 meses e 26 dias);"Portugal, Região Autónoma da Madeira, Funchal";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Introdutor Extra-Longo Aramado;Ajuste directo;Aquisição de bens móveis;"33140000-3, Material médico de consumo";"Centro Hospitalar Vila Nova de Gaia - Espinho, E. P. E. (508142156)";BIOSONDA (501463313);"200,00 €";05-11-2015;14-07-2015;2 dias (2 dias);"Portugal, Porto, Vila Nova de Gaia";"Artigo 24.º, n.º 1, alínea c) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Prestação de serviços de consultoria na dimensão da sustentabilidade do Programa Mitra ;Ajuste directo;Aquisição de serviços;"71314300-5, Serviços de consultoria em matéria de rendimento energético";Santa Casa da Misericórdia de Lisboa (500745471);"BLUECITY CONSTRUCTION, LDA  (510200508)";"46.800,00 €";05-11-2015;01-06-2015;240 dias (7 meses e 27 dias);"Portugal, Lisboa, Lisboa";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
2014.126.03.S1 - SFP Sintra - Reabilitação de coberturas e fachadas - Serviço de Coordenação de Segurança em Obra;Ajuste directo;Aquisição de serviços;"71317210-8, Serviços de consultoria em matéria de saúde e segurança";"Instituto do Emprego e da Formação Profissional, I. P. (501442600)";Ermelinda Sónia Ferreira Serôdio (166383635);"1.190,00 €";05-11-2015;17-08-2015;120 dias (3 meses e 28 dias);"Portugal, Lisboa, Sintra";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
80901515 - AD para Reparação de Ecógrafo ;Ajuste directo;Aquisição de serviços;"50400000-9, Serviços de reparação e manutenção de equipamento médico e de precisão";"Centro Hospitalar Vila Nova de Gaia - Espinho, E. P. E. (508142156)";"ASTRIMED-Informática e Tecnologia Médica,Lda (507007867)";"654,00 €";05-11-2015;05-11-2015;1 dias (1 dia);"Portugal, Porto, Vila Nova de Gaia";"Artigo 24.º, n.º 1, alínea c) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
CORANTES CIRURGIA OFTALMICA;Ajuste directo;Aquisição de bens móveis;"33190000-8, Dispositivos e produtos médicos variados";"Serviço de Saúde da Região Autónoma da Madeira, E. P. E. (511228848)";"OFTALTEC-INSTRUMENTOS CIRURGICOS DE QUALIDADE,LDA (503197149)";"2.050,00 €";05-11-2015;13-10-2015;79 dias (2 meses e 18 dias);"Portugal, Região Autónoma da Madeira, Funchal";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
EXECUÇÃO DO CIRCUITO ESPECIAL DE TRANSPORTE ESCOLAR PARA O ANO LETIVO 2015 / 2016 - CIRCUITO ESPECIAL Nº 1 - NABO - VILA FLOR / ROIOS- VILA FLOR;Ajuste directo;Aquisição de serviços;"60000000-8, Serviços de transporte (excl. transporte de resíduos)";Município de Vila Flor (506696464);"SOCIEDADE DE TRANSPORTES CARRAZEDA - VILA FLOR, LDA (500262713)";"5.310,00 €";05-11-2015;16-09-2015;180 dias (5 meses e 27 dias);"Portugal, Braganca, Vila Flor";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
"empreitada de reabilitação/reparação dos pisos 1, 2, 4 e áreas de circulação";Ajuste directo;Empreitadas de obras públicas;"71000000-8, Serviços de arquitectura, construção, engenharia e inspecção";"Entidade de Serviços Partilhados da Administração Pública, I. P. (510342191)";"REHBREMA- Building, Rehabilitation and Maintenance Lda (510369057)";"20.000,00 €";05-11-2015;30-10-2015;60 dias (1 mês e 29 dias);"Portugal, Lisboa, Amadora";"Artigo 19.º, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Aquisição Material para Reparação de AVAC ;Ajuste directo;Aquisição de bens móveis;"33168000-5, Aparelhos para endoscopia e endocirurgia";"Centro Hospitalar Vila Nova de Gaia - Espinho, E. P. E. (508142156)";Such - Serv. Utiliz. Comuns Hospitais (500900469);"514,58 €";05-11-2015;04-11-2015;10 dias (10 dias);"Portugal, Porto, Vila Nova de Gaia";"Artigo 24.º, n.º 1, alínea c) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Material de Consignação Johnson;Ajuste directo;Aquisição de bens móveis;"33140000-3, Material médico de consumo";"Centro Hospitalar Vila Nova de Gaia - Espinho, E. P. E. (508142156)";Johnson & Johnson Medical (500153370);"8.025,00 €";05-11-2015;14-07-2015;90 dias (2 meses e 29 dias);"Portugal, Porto, Vila Nova de Gaia";"Artigo 24.º, n.º 1, alínea c) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Requalificação da Zona Fluvial Lixa/Covelo - Estudo Geológico/Geotécnico;Ajuste directo;Aquisição de serviços;"71351500-8, Serviços de estudo de terrenos";Município de Gondomar (506848957);"Geoma - Geotecnia e Mecanica dos Solos, Lda (501695729)";"58.730,00 €";05-11-2015;29-10-2015;30 dias (30 dias);"Portugal, Porto, Gondomar";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Auditoria Externa às Contas do Município de Almodôvar;Ajuste directo;Aquisição de serviços;"79212000-3, Serviços de auditoria";Município de Almodôvar (506816184);"Oliveira, Reis & Associados, SROC, Lda. (501266259)";"15.984,00 €";05-11-2015;27-10-2015;730 dias (2 anos);"Portugal, Beja, Almodovar";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
MEDICAMENTOS EXCLUSIVOS DIVERSOS;Ajuste directo;Aquisição de bens móveis;"33690000-3, Medicamentos vários";"Centro Hospitalar do Baixo Vouga, E.P.E. (510123210)";"LAB.EDOL,PROD.FARMACEUT,S.A. (507072642)";"739,80 €";05-11-2015;01-10-2015;1095 dias (3 anos);"Portugal, Aveiro";"Artigo 24.º, n.º 1, alínea e) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Aquisição de Chips EMV Silver DDA 12K e Chips EMV Gold DDA 12K;Ajuste directo;Aquisição de bens móveis;"31712114-2, Circuitos electrónicos integrados";"Imprensa Nacional - Casa da Moeda, S. A. (500792887)";"MORPHO CARDS PORTUGAL, LDA. (505084490)";"12.201,00 €";05-11-2015;27-10-2015;180 dias (5 meses e 27 dias);"Portugal, Lisboa, Lisboa";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Aquisição de Feno e Palha.;Ajuste directo;Aquisição de bens móveis;"15700000-5, Alimentos para animais";Universidade de Trás-os-Montes e Alto Douro (501345361);"António Augusto Martins Unipessoal, Lda. (510937969)";"31.850,00 €";05-11-2015;01-09-2015;2 dias (2 dias);"Portugal, Vila Real, Vila Real";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Aquisição de Baterias p/ Desfibrilhadores;Ajuste directo;Aquisição de bens móveis;"31420000-6, Baterias primárias";"Centro Hospitalar Vila Nova de Gaia - Espinho, E. P. E. (508142156)";ONLYBATTERY - pilhas e baterias S.A. (506317994);"1.197,40 €";05-11-2015;04-11-2015;10 dias (10 dias);"Portugal, Porto, Vila Nova de Gaia";"Artigo 24.º, n.º 1, alínea c) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Ajuste Direto n.º 108/2015 - Monitor de Educação no âmbito das Atividades de Animação e Apoio à Família (AAAF’S) e da Componente de Apoio à Família (CAF) da Junta de Freguesia de Benfica pelo prazo de 12 meses – Catarina Fernandes;Ajuste directo;Aquisição de serviços;"80000000-4, Serviços de ensino e formação";Freguesia de Benfica (506602222);Catarina Filipa Ferreira de Matos Fernandes   (231256981);"7.800,00 €";05-11-2015;01-09-2015;365 dias (1 ano);"Portugal, Lisboa, Lisboa";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
"Prestação de Serviço para Recolha, Transporte e Entrega a Destino Final de Resíduos de Construção e Demolição (RCD)";Concurso público;Aquisição de serviços;"90511000-2, Serviços de recolha de resíduos";Serviços Municipalizados de Água e Saneamento da Câmara Municipal de Sintra (680000054);"Francisco Duarte Preço & Filhos, Lda. (501562044)";"64.000,00 €";05-11-2015;02-11-2015;365 dias (1 ano);"Portugal, Lisboa, Sintra";Artigo 155º do Código dos Contratos Públicos;;;;;;Não aplicável.;Não aplicável.;false
"EOP ""FORNECIMENTO E APLICAÇÃO DE MATERIAL TERMOPLÁSTICO RETROREFLETOR DE APLICAÇÃO A QUENTE""";Ajuste directo;Empreitadas de obras públicas;"45233221-4, Obras de sinalização horizontal de estradas";Município de Almada (500051054);"VIAMARCA-PINTURAS DE VIAS RODOVIARIAS, SA (503397490)";"87.386,29 €";05-11-2015;24-07-2015;365 dias (1 ano);"Portugal, Setúbal, Almada";"Artigo 19.º, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Reparação nos Edifícios da Escola Superior Agrária do Instituto Politécnico de Beja;Ajuste directo;Empreitadas de obras públicas;"45442110-1, Pintura de edifícios";Instituto Politécnico de Beja (680038671);"MOREIRA & SERRANO, Ldª. (509983413)";"3.200,00 €";05-11-2015;04-11-2015;30 dias (30 dias);"Portugal, Beja, Beja";"Artigo 19.º, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
20901615 - AD para Aquisição de Protese de Revisão da Anca Cimentada ;Ajuste directo;Aquisição de bens móveis;"33184000-3, Próteses";"Centro Hospitalar Vila Nova de Gaia - Espinho, E. P. E. (508142156)";Johnson & Johnson Medical (500153370);"2.350,00 €";05-11-2015;04-11-2015;3 dias (3 dias);"Portugal, Porto, Vila Nova de Gaia";"Artigo 24.º, n.º 1, alínea c) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Proc. 494/DCOP/2015 - AQUISIÇÃO DE SERVIÇOS DE MANUTENÇÃO E DESENVOLVIMENTO APLICACIONAL DO SISTEMA DE GESTÃO DE REFEIÇÕES (SGR);Ajuste directo;Aquisição de serviços;"72261000-2, Serviços de assistência em matéria de software";Município de Cascais (505187531);Logicentro - Importação e Comercialização de Computadores Lda (501208674);"22.320,00 €";05-11-2015;03-11-2015;366 dias (1 ano e 1 dia);"Portugal, Lisboa, Cascais";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
